Machine,Average of OEE VALUE
101,75.69
201,70.34
202,68.53
203,70.49
204,71.37
205,67.04
206,71.24
207,75.49
208,68.78
209,67.9
210,65.67
211,61.4
212,75.29
214,72.88
215,61.84
216,61.75
217,72.33
221,64.24
301,64.56
302,61.46
303,74.87
401,66.92
402,69.23
M+E,80.04
PL1,80.6
PM1,53.83
PT1,56.11
