Date,Average of OEE VALUE
2023-01-01,65.68
2023-02-01,67.45
2023-03-01,64.19
2023-04-01,66.25
2023-05-01,64.97
2023-06-01,66.84
2023-07-01,65.18
2023-08-01,65.95
2023-09-01,66.57
2023-10-01,64.78
2023-11-01,66.0
2023-12-01,64.02
2024-01-01,65.39
2024-02-01,65.36
2024-03-01,65.66
2024-04-01,65.9
2024-05-01,66.11
2024-06-01,66.29
2024-07-01,66.44
2024-08-01,66.57
2024-09-01,66.68
2024-10-01,66.77
2024-11-01,66.84
2024-12-01,66.91
