Date,Average of OEE VALUE
01-01-2015, 68.78
01-02-2015, 69.09
01-03-2015, 67.17
01-04-2015, 69.18
01-05-2015, 68.21
01-06-2015, 67.24
01-07-2015, 70.69
01-08-2015, 69.03
01-09-2015, 70.75
01-10-2015, 69.13
01-11-2015, 70.05
01-12-2015, 68.48
01-01-2016, 67.75
01-02-2016, 66.87
01-03-2016, 66.33
01-04-2016, 64.95
01-05-2016, 67.6
01-06-2016, 65.67
01-07-2016, 67.89
01-08-2016, 67.52
01-09-2016, 67.6
01-10-2016, 66.94
01-11-2016, 66.28
01-12-2016, 66.13
01-01-2017, 64.49
01-02-2017, 64.33
01-03-2017, 67.53
01-04-2017, 67.87
01-05-2017, 64.85
01-06-2017, 64.85
01-07-2017, 64.98
01-08-2017, 65.01
01-09-2017, 65.21
01-10-2017, 66.39
01-11-2017, 67.44
01-12-2017, 64.28
01-01-2018, 67.46
01-02-2018, 65.5
01-03-2018, 67.69
01-04-2018, 67.15
01-05-2018, 67.48
01-06-2018, 65.47
01-07-2018, 66.94
01-08-2018, 65.98
01-09-2018, 65.5
01-10-2018, 65.32
01-11-2018, 66
01-12-2018, 67.44
01-01-2019, 71.51
01-02-2019, 72.68
01-03-2019, 72.78
01-04-2019, 70.34
01-05-2019, 72.49
01-06-2019, 71.61
01-07-2019, 69.66
01-08-2019, 72.34
01-09-2019, 72.53
01-10-2019, 68.85
01-11-2019, 70.62
01-12-2019, 69.43
01-01-2020, 67.29
01-02-2020, 68.59
01-03-2020, 68.29
01-04-2020, 66.48
01-05-2020, 66.98
01-06-2020, 68.25
01-07-2020, 69.45
01-08-2020, 66.34
01-09-2020, 66.92
01-10-2020, 69.21
01-11-2020, 67.14
01-12-2020, 66.9
01-01-2021, 66.61
01-02-2021, 68.27
01-03-2021, 65.75
01-04-2021, 66.96
01-05-2021, 67.62
01-06-2021, 66.89
01-07-2021, 66.8
01-08-2021, 66.64
01-09-2021, 65
01-10-2021, 66.75
01-11-2021, 65.8
01-12-2021, 68.77
01-01-2022, 67
01-02-2022, 66.5
01-03-2022, 65.74
01-04-2022, 67.19
01-05-2022, 65.96
01-06-2022, 66.28
01-07-2022, 65.28
01-08-2022, 65.73
01-09-2022, 67.09
01-10-2022, 68.76
01-11-2022, 65.41
01-12-2022, 67.58
01-01-2023, 65.68
01-02-2023, 67.45
01-03-2023, 64.19
01-04-2023, 66.25
01-05-2023, 64.97
01-06-2023, 66.84
01-07-2023, 65.18
01-08-2023, 65.95
01-09-2023, 66.57
01-10-2023, 64.78
01-11-2023, 66
01-12-2023, 64.02
