Date,Average of OEE VALUE
2022-01-01,65.13
2022-02-01,65.26
2022-03-01,65.15
2022-04-01,65.39
2022-05-01,65.44
2022-06-01,65.16
2022-07-01,65.02
2022-08-01,64.97
2022-09-01,64.98
2022-10-01,65.12
2022-11-01,65.47
2022-12-01,65.98
2023-01-01,66.31
2023-02-01,66.6
2023-03-01,66.82
2023-04-01,67.01
2023-05-01,67.15
2023-06-01,67.27
2023-07-01,67.36
2023-08-01,67.44
2023-09-01,67.5
2023-10-01,67.55
2023-11-01,67.59
2023-12-01,67.62
